title,price,rating,reviews,availability,Category
Van Heusen Men's Solid Slim Fit Formal Shirt, ,3.9 out of 5 stars,158 ratings,In stock,amazon_men shirt_data
The Indian Garage Co Men Regular Fit Checkered Full Sleeves Cutaway Collar Casual Shirt, ,3.9 out of 5 stars,73 ratings,In stock,amazon_men shirt_data
Peter England Men's Slim Fit Full Sleeve Checkered Casual Shirt | 100% Cotton | Premium Twill Weave, ,4.1 out of 5 stars,308 ratings,In stock,amazon_men shirt_data
Allen Solly Men's Solid Regular Fit Shirt, ,3.8 out of 5 stars,870 ratings,In stock,amazon_men shirt_data
United Colors of Benetton Men's Slim Shirt, ,3.9 out of 5 stars,234 ratings,In stock,amazon_men shirt_data
BULLMER Trendy Regular Fit Printed Causal Shirt for Men - Pack of 1, ,3.9 out of 5 stars,372 ratings,In stock,amazon_men shirt_data
BE ACTIVE Men's Casual Shirt|| Cotton Stylish Full Sleeves Shirt for Men, ,3.6 out of 5 stars,198 ratings,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Cotton Shirt | Chinese Collar | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Size and Combo Packs), ,3.9 out of 5 stars,"6,603 ratings",In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Solid Cotton Rich Formal Shirt | Plain | Full Sleeve-Regular Fit (Available in Plus Size and Combo Pack of 2), ,3.8 out of 5 stars,"13,396 ratings",In stock,amazon_men shirt_data
Lymio Casual Regular Fit Shirt for Men|| Regular Fit Shirt for Men|| Men Stylish Regular Fit Shirt (Rib-Regular Fit Shirt), ,4.3 out of 5 stars,"2,056 ratings",In stock,amazon_men shirt_data
Allen Solly Men's Slim Fit Shirt, ,3.9 out of 5 stars,"7,735 ratings",In stock,amazon_men shirt_data
U.S. POLO ASSN. Men's Solid Oxford Tailored Fit Button Down Casual Shirt, ,4.0 out of 5 stars,96 ratings,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Solid Cotton Formal Shirt | Plain | Full Sleeve - Regular Fit (Available in Plus Size and Combo Packs), ,4.0 out of 5 stars,"8,900 ratings",Only 2 left in stock.,amazon_men shirt_data
Van Heusen Men's Solid Slim Fit Shirt, ,4.0 out of 5 stars,778 ratings,In stock,amazon_men shirt_data
"DAMENSCH Constant All-Degree Shirt for Men Full Sleeve, Pique Textured Shirt for Man, Thermoregulating Cotton Blend, Recycled Fabric Shirts Stylish", ,4.2 out of 5 stars,319 ratings,In stock,amazon_men shirt_data
Peter England Men's Slim Fit Full Sleeve Pin-Striped Formal Shirt | Cotton-Rich | Wonder Fabric | Pin Point Oxford, ,4.2 out of 5 stars,106 ratings,In stock,amazon_men shirt_data
Peter England Men's Everday Regular Fit Solid Shirt | Cotton Rich | 5-Pin Pocketing, ,4.0 out of 5 stars,554 ratings,In stock,amazon_men shirt_data
Majestic Man Men Comfort Slim Fit Opaque Checked Cotton Casual Shirt, ,3.8 out of 5 stars,58 ratings,In stock,amazon_men shirt_data
Louis Philippe Regular Fit Solid All Day Comfort Cotton Effortless Ironing Shirt, ,3.6 out of 5 stars,51 ratings,In stock,amazon_men shirt_data
Majestic Man Slim Fit Cotton Casual Check Shirt for Men, ,3.9 out of 5 stars,"2,743 ratings",In stock,amazon_men shirt_data
The Souled Store Plaid: Brown Mustard and Black Men and Boys Relaxed fit Striped Full Sleeve Cotton Multicolored Men Relaxed Shirts Shirt For Men Casual Half Sleeves Regular Fit Printed Stylish Latest, ,4.4 out of 5 stars,26 ratings,In stock,amazon_men shirt_data
Peter England Men's Classic Checkered Formal Slim Fit Full Sleeve Shirt | Wonder Fabric | Cotton-Rich, ,4.1 out of 5 stars,278 ratings,In stock,amazon_men shirt_data
Peter England Men's Classic Slim Fit Full Sleeve Oxford Shirt | 100% Cotton, ,4.0 out of 5 stars,447 ratings,In stock,amazon_men shirt_data
"Louis Philippe Slim Fit Premium Fabric, Superior Craftsmanship Casual Shirt", ,4.1 out of 5 stars,26 ratings,In stock,amazon_men shirt_data
Allen Solly Men's Regular Fit Polo, ,4.1 out of 5 stars,"6,444 ratings",In stock,amazon_men shirt_data
Majestic Man Men's Standard Slim Fit Striped Pure Cotton Casual Shirt, ,4.0 out of 5 stars,239 ratings,In stock,amazon_men shirt_data
Peter England Men's Striped Regular Fit Shirt, ,3.8 out of 5 stars,20 ratings,In stock,amazon_men shirt_data
The Indian Garage Co Men Regular Fit Solid Full Sleeves Spread Collar Casual Shirt, ,3.7 out of 5 stars,356 ratings,In stock,amazon_men shirt_data
Peter England Men's Solid Regular Fit Shirt, ,4.3 out of 5 stars,98 ratings,In stock,amazon_men shirt_data
BE ACTIVE Men's Casual Shirts|| Linen Cotton Lining Shirts for Men|| Stylish Full Sleeves Cotton Shirt for Men, ,3.5 out of 5 stars,277 ratings,In stock,amazon_men shirt_data
GRECIILOOKS Shirt for Men | Mens Casual Shirt | Men Stylish Shirt | Men Popcorn Shirt | Men's Regular Fit | Men Formal Shirt | Men's Solid Slim Fit, ,4.1 out of 5 stars,494 ratings,In stock,amazon_men shirt_data
Louis Philippe Men's Striped Regular Fit Shirt, ,Previous page,,In stock,amazon_men shirt_data
Majestic Man Cotton Checkered Slim Fit Casual Shirt For Men, ,3.8 out of 5 stars,"1,412 ratings",In stock,amazon_men shirt_data
Louis Philippe Men's Premium Cotton Easy to Care Slim fit Checks Casual Shirt with Natural Stretch, ,3.7 out of 5 stars,28 ratings,In stock,amazon_men shirt_data
Leriya Fashion Mens Rayon Man Casual Shirt Regular Fit Western, ,3.7 out of 5 stars,"2,782 ratings",In stock,amazon_men shirt_data
Van Heusen Men's Solid Slim Fit Formal Shirt, ,3.9 out of 5 stars,354 ratings,In stock,amazon_men shirt_data
Bellstone Men's Solid Regular Fit Dress Shirt, ,3.6 out of 5 stars,"1,855 ratings",In stock,amazon_men shirt_data
Majestic Man Men Slim Fit Pure Cotton Checkred Half Sleeve Casual Shirt, ,4.0 out of 5 stars,107 ratings,In stock,amazon_men shirt_data
Arrow Men's Checkered Full Sleeve Slim Fit Point Collar Cotton Casual Shirt, ,3.7 out of 5 stars,23 ratings,In stock,amazon_men shirt_data
Majestic Man Comfort Slim Fit Pure Cotton Checked Casual Shirt, ,4.0 out of 5 stars,6 ratings,Only 4 left in stock.,amazon_men shirt_data
Louis Philippe Men's Solid Slim Fit Shirt, ,5.0 out of 5 stars,1 rating,In stock,amazon_men shirt_data
Miraan Men's Casual Denim Cotton Shirt (SIGDENIMM), ,3.7 out of 5 stars,"2,290 ratings",In stock,amazon_men shirt_data
Louis Philippe Slim Fit Denim Classic Premium Casual Shirt, ,3.7 out of 5 stars,160 ratings,Available to ship in 1-2 days,amazon_men shirt_data
U.S. POLO ASSN. Men's Regular Fit Shirt, ,Previous page,,Only 2 left in stock.,amazon_men shirt_data
TAGDO Men's Jacquard Chain Polo Shirt (2020), ,4.4 out of 5 stars,240 ratings,In stock,amazon_men shirt_data
U.S. POLO ASSN. Men's Regular Fit Shirt, ,3.8 out of 5 stars,22 ratings,In stock,amazon_men shirt_data
Allen Solly Men's Regular Fit Ditsy Printed Casual Shirt, ,3.5 out of 5 stars,3 ratings,In stock,amazon_men shirt_data
Arrow Men's Slim Fit Shirt (ASADOSH02270_Beige, ,5.0 out of 5 stars,1 rating,Only 1 left in stock.,amazon_men shirt_data
MARK & ALBERT Men's Slim Fit Cotton Formal Shirt, ,3.9 out of 5 stars,80 ratings,Only 5 left in stock.,amazon_men shirt_data
Dennis Lingo Men's Striped Slim Fit Cotton Casual Shirt, ,3.8 out of 5 stars,"2,023 ratings",In stock,amazon_men shirt_data
Dennis Lingo Men's Checkered Slim Fit Cotton Casual Shirt, ,3.8 out of 5 stars,"4,850 ratings",In stock,amazon_men shirt_data
U.S. POLO ASSN. Men's Regular Fit Shirt, ,4.0 out of 5 stars,7 ratings,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Solid Cotton Formal Shirt | Plain | Full Sleeve - Regular Fit (Available in Plus Size and Combo Packs), ,4.0 out of 5 stars,"8,900 ratings",In stock,amazon_men shirt_data
Arrow Men's Checkered Slim Fit Formal Shirt, ,4.1 out of 5 stars,320 ratings,In stock,amazon_men shirt_data
Allen Solly Men's Printed Slim Fit Shirt, ,4.2 out of 5 stars,76 ratings,In stock,amazon_men shirt_data
"DAMENSCH Constant All-Degree Shirt for Men Full Sleeve, Pique Textured Shirt for Man, Thermoregulating Cotton Blend, Recycled Fabric Shirts Stylish", ,4.2 out of 5 stars,319 ratings,In stock,amazon_men shirt_data
NOBERO Cotton Blend Oversized Casual Round Neck Co-Ord Set For Men Casual Sleepwear & Loungewear Set & Night Suits Set For Men, ,4.7 out of 5 stars,7 ratings,In stock,amazon_men shirt_data
NOBERO Men's Self Design Regular Fit Polo Shirt, ,Previous page,,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Solid Cotton Rich Polo T Shirt | Collar Tshirts | Half Sleeves | Plain-Regular Fit (Available in Plus Size and Combo Pack of 2), ,3.9 out of 5 stars,"35,317 ratings",In stock,amazon_men shirt_data
Allen Solly Men's Plain Slim fit Shirt, ,3.6 out of 5 stars,"12,308 ratings",Only 1 left in stock.,amazon_men shirt_data
Peter England Men's Classic Slim Fit Full Sleeve Oxford Shirt | 100% Cotton, ,4.0 out of 5 stars,447 ratings,In stock,amazon_men shirt_data
Majestic Man Cotton Checkered Slim Fit Casual Shirt For Men, ,3.8 out of 5 stars,"1,412 ratings",In stock,amazon_men shirt_data
Majestic Man Slim Fit Cotton Casual Check Shirt for Men, ,3.9 out of 5 stars,"2,743 ratings",In stock,amazon_men shirt_data
Allen Solly Men's Solid Regular Fit Shirt, ,3.7 out of 5 stars,185 ratings,Only 5 left in stock.,amazon_men shirt_data
Allen Solly Men's Slim Fit Shirt, ,4.8 out of 5 stars,3 ratings,In stock,amazon_men shirt_data
Peter England Men's Regular Fit Shirt, ,3.9 out of 5 stars,21 ratings,In stock,amazon_men shirt_data
Peter England Men's Solid Regular Fit Shirt, ,4.0 out of 5 stars,79 ratings,In stock,amazon_men shirt_data
Majestic Man Pure Cotton Smart Slim Fit Opaque Solid Casual Shirt, ,3.8 out of 5 stars,18 ratings,Only 2 left in stock.,amazon_men shirt_data
Arrow Men's Solid Slim Fit Shirt, ,4.1 out of 5 stars,74 ratings,In stock,amazon_men shirt_data
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt (Insta-Shirt), ,4.6 out of 5 stars,121 ratings,,amazon_men shirt_data
